Frequency, Call, Mode, Filter, Description
 .620m,KPOJ,AM,6k,Rip City Radio
 .750m,KXTG,AM,6k,The Game
 .910m,ESPN,AM,6k,The Fan
 1.010m,KOOR,AM,6k,Urbana 1010
 1.080m,KFXX,AM,6k,The Fan Sports Radio
 89.100m,KMHD,wFM,230k,Portland Jazz Radio
 90.500m,KBOO,wFM,230k,Portland Community Radio
 91.5000m,KOPB,wFM,230k,Oregon Public Broadcasting
 92.3000m,KGON,wFM,230k,Portlands Rock Station 
 95.5000m,?,wFM,230k,Live955
 145.250m,KE7FBE,nFM,15k,Repeater Portland VA Hospital
 145.310m,W7EXH,nFM,15k,Repeater
 145.390m,K7LI,nFM,15k,Repeater Council Crest
 146.700m,KE7AWR,nFM,15k,Repeater Stonehenge Tower
 146.980m,N7EXH,nFM,15k,Repeater KGON Tower
 147.040m,K7RPT,nFM,15k,Repeater ARRG
 147.140m,W7AC,nFM,15K,Repeater
 426.250m,WB2QHS,nFM,15k,Repeater
 440.350m,KB7OYI,nFM,15k,Repeater ARES Stonehenge
 440.400m,W7RAT,nFM,15k,Repeater IRLP node
 440.650m,N7FWL,nFM,15k,
 440.675m,WB2QHS,nFM,15k,
 440.700m,KS7O,nFM,15k,
 440.825m,K7LHS,nFM,15k,
 442.450m,KB7SJE,nFM,15k,
 442.650m,K7LJ,nFM,15k,
 442.700m,K7LTA,nFM,15k,
 443.050m,WA7BND,nFM,15k,
 443.200m,W7PRN,nFM,15k,
 443.225m,WA7HAA,nFM,15k,
 443.300m,K7NE,nFM,15k,
 443.625m,W7DTV,nFM,15k,
 443.850m,KB7OYI,nFM,15k,
 443.900m,KE7FBE,nFM,15k,
 443.950m,N7QOR,nFM,15k,
 444.000m,K0HSU,nFM,15k,
 444.400m,K7RPT,nFM,15k,
 462.5625m,FRS 1,nFM,15k,
 462.5875m,FRS 2,nFM,15k,
 462.6125m,FRS 3,nFM,15k,
 462.6375m,FRS 4,nFM,15k,
 462.6625m,FRS 5,nFM,15k,
 462.6875m,FRS 6,nFM,15k,
 462.7125m,FRS 7,nFM,15k,
 467.5625m,FRS 8,nFM,15k,
 467.5875m,FRS 9,nFM,15k,
 467.6125m,FRS 10,nFM,15k,
 467.6375m,FRS 11,nFM,15k,
 467.6625m,FRS 12,nFM,15k,
 467.6875m,FRS 13,nFM,15k,
 467.7125m,FRS 14,nFM,15k,
 462.550m,GMRS15,nFM,15k,
 462.575m,GMRS16,nFM,15k,
 462.600m,GMRS17,nFM,15k,
 462.625m,GMRS18,nFM,15k,
 462.650m,GMRS19,nFM,15k,
 462.675m,GMRS20,nFM,15k,
 462.700m,GMRS21,nFM,15k,
 462.725m,GMRS22,nFM,15k,
 462.550m,GMR15R,nFM,15k,
 462.575m,GMR16R,nFM,15k,
 462.600m,GMR17R,nFM,15k,
 462.625m,GMR18R,nFM,15k,
 462.650m,GMR19R,nFM,15k,
 462.675m,GMR20R,nFM,15k,
 462.700m,GMR21R,nFM,15k,
462.725,GMR22R,nFM,15k,
446.00625,PMR 1,nFM,15k,
446.01875,PMR 2,nFM,15k,
446.03125,PMR 3,nFM,15k,
446.04375,PMR 4,nFM,15k,
446.05625,PMR 5,nFM,15k,
446.06875,PMR 6,nFM,15k,
446.08125,PMR 7,nFM,15k,
446.09375,PMR 8,nFM,15k,
 151.820m,MURS 1,nFM,15k,
 151.880m,MURS 2,nFM,15k,
 151.940m,MURS 3,nFM,15k,
 154.570m,MURS 4,nFM,15k,
 154.600m,MURS 5,nFM,15k,
 151.625m,BUSRED,nFM,15k,
 151.955m,BUSPUR,nFM,15k,
 156.050m,MAR01A,nFM,15k,
 156.150m,MAR03A,nFM,15k,
 156.250m,MAR05A,nFM,15k,
 156.300m,6-Mar,nFM,15k,
 156.350m,MAR07A,nFM,15k,
 156.400m,8-Mar,nFM,15k,
 156.450m,9-Mar,nFM,15k,
 156.500m,10-Mar,nFM,15k,
 156.550m,11-Mar,nFM,15k,
 156.600m,12-Mar,nFM,15k,
 156.650m,13-Mar,nFM,15k,
 156.700m,14-Mar,nFM,15k,
 156.750m,15-Mar,nFM,15k,
 156.800m,16-Mar,nFM,15k,
 156.850m,17-Mar,nFM,15k,
 156.900m,MAR18A,nFM,15k,
 156.950m,MAR19A,nFM,15k,
 157.000m,MAR20A,nFM,15k,
 157.050m,MAR21A,nFM,15k,
 157.100m,MAR22A,nFM,15k,
 157.150m,MAR23A,nFM,15k,
 156.125m,Mar-62,nFM,15k,
 156.175m,MAR63A,nFM,15k,
 156.275m,MAR65A,nFM,15k,
 156.325m,MAR66A,nFM,15k,
 156.375m,Mar-67,nFM,15k,
 156.425m,Mar-68,nFM,15k,
 156.475m,Mar-69,nFM,15k,
 156.575m,Mar-71,nFM,15k,
 156.625m,Mar-72,nFM,15k,
 156.675m,Mar-73,nFM,15k,
 156.725m,Mar-74,nFM,15k,
 156.775m,Mar-75,nFM,15k,
 156.825m,Mar-76,nFM,15k,
 156.875m,Mar-77,nFM,15k,
 156.925m,MAR78A,nFM,15k,
 156.975m,MAR79A,nFM,15k,
 157.025m,MAR80A,nFM,15k,
 157.075m,MAR81A,nFM,15k,
 157.425m,MAR88A,nFM,15k,
 162.550m,WX 1,nFM,15k,
 162.400m,WX 2,nFM,15k,
 162.475m,WX 3,nFM,15k,
 162.425m,WX 4,nFM,15k,
 162.450m,WX 5,nFM,15k,
 162.500m,WX 6,nFM,15k,
 162.525m,WX 7,nFM,15k,
 155.160m,SAREMT,nFM,15k,
 146.420m,HAM 42,nFM,15k,
 146.520m,HAM 52,nFM,15k,
 146.550m,HAM 55,nFM,15k,
 446.000m,HAMUHF,nFM,15k,
 446.030m,HAM U3,nFM,15k,
 470.625m,,nFM,15k,
